,n_estimators,max_features,random_state,n_features,accuracy,time
0,100.0,sqrt,8.0,1540.0,0.8152629450186312,9.37942624092102
1,100.0,sqrt,8.0,54.0,0.7122965844255312,3.4707376956939697
2,100.0,1.0,8.0,1540.0,0.8899856285982289,47.65140509605408
3,100.0,1.0,8.0,54.0,0.8967754705128095,20.10451579093933
4,250.0,sqrt,8.0,1540.0,0.8143507482595114,13.472508907318115
5,250.0,sqrt,8.0,54.0,0.7145770763233307,8.598607540130615
6,250.0,1.0,8.0,1540.0,0.8904847551268039,129.8329882621765
7,250.0,1.0,8.0,54.0,0.8970938788155212,645.0701539516449
8,500.0,sqrt,8.0,1540.0,0.815710437768388,23.3800687789917
9,500.0,sqrt,8.0,54.0,0.711711401598926,15.749321222305298
10,500.0,1.0,8.0,1540.0,0.8903040369009406,226.81419229507446
11,500.0,1.0,8.0,54.0,0.8971971463731573,21.39484977722168
